state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,
105872,3854,440,7336,39,28,54,3746,0,-4,10,0,46235,136,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1454,0,105868,
105882,3856,388,7312,26,23,59,3742,0,0,-2,0,46239,147,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1453,0,105878,
105892,3822,386,7312,13,23,65,3745,0,-1,0,0,46245,140,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1453,0,105888,
105902,3810,380,7334,6,24,62,3743,0,-1,9,0,46237,144,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1453,0,105898,
105912,3832,458,7280,1,18,47,3749,0,7,0,0,46235,139,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1452,0,105908,
105922,3860,494,7280,-6,18,38,3745,0,-4,3,0,46238,148,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1453,0,105918,
105932,3900,522,7346,-20,22,22,3743,0,3,0,0,46241,148,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1453,0,105928,
105942,3958,468,7442,-33,32,26,3744,0,0,0,0,46237,140,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1453,0,105938,
105952,3896,392,7536,-62,49,26,3740,0,-1,4,0,46232,141,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1453,0,105948,
105962,3928,308,7620,-67,80,33,3745,0,-3,6,0,46237,129,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1453,0,105958,
105972,3878,284,7614,-62,120,40,3744,0,-2,1,0,46240,135,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1452,0,105968,
105982,3848,370,7568,-62,136,49,3743,0,7,1,0,46236,134,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1453,0,105978,
105992,3854,628,7514,-73,144,73,3745,0,1,5,0,46234,134,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1452,0,105988,
106002,3970,844,7456,-98,152,93,3744,0,8,2,0,46233,128,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1451,0,105998,
106012,4050,970,7460,-156,151,118,3744,0,5,0,0,46238,118,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1451,0,106008,
106022,3998,984,7572,-206,178,144,3746,0,-15,5,0,46240,125,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1451,0,106018,
106032,3764,868,7606,-273,208,155,3744,0,6,1,0,46235,140,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1451,0,106028,
106042,3660,676,7652,-297,264,141,3743,0,-6,7,0,46232,142,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1452,0,106038,
106052,3510,444,7646,-323,343,99,3744,0,-3,7,0,46233,145,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1450,0,106048,
106062,3338,320,7640,-325,398,72,3743,0,3,0,0,46234,134,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1449,0,106058,
106072,3162,78,7636,-309,486,31,3745,0,-1,4,0,46228,136,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1451,0,106068,
106082,3056,16,7666,-273,528,-7,3741,0,10,1,0,46231,132,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1450,0,106078,
106092,3062,-86,7710,-209,508,-46,3743,0,6,5,0,46235,130,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1450,0,106088,
106102,2976,-172,7740,-147,469,-66,3743,0,11,7,0,46239,141,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1448,0,106098,
106112,2764,-134,7600,-63,354,-110,3745,0,-5,2,0,46235,140,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1449,0,106108,
106122,2698,-14,7484,-27,261,-147,3745,0,-6,2,0,46232,143,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1449,0,106118,
106132,3196,376,7412,-56,5,-111,3745,0,0,4,0,46238,135,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1449,0,106128,
106142,2836,184,7410,-113,-45,-101,3742,-1,-3,7,0,46244,128,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1448,0,106138,
106152,3080,188,7306,-190,-145,-59,3744,0,-11,3,0,46242,135,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1446,0,106148,
106162,2694,250,7384,-222,-275,-35,3745,0,-7,2,0,46236,132,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1446,0,106158,
106172,2904,30,7054,-281,-256,-31,3743,0,0,0,0,46238,138,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1446,0,106168,
106182,2852,78,6980,-292,-290,-29,3744,0,3,4,0,46252,132,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1446,0,106178,
106192,2942,66,6750,-304,-302,-29,3747,0,11,6,0,46271,143,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1446,0,106188,
106202,3092,-16,6606,-295,-280,-42,3746,0,7,2,0,46280,155,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1447,0,106198,
106212,3126,-144,6478,-263,-286,-68,3744,0,-6,0,0,46275,145,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1445,0,106208,
106222,3068,-320,6512,-225,-304,-98,3744,0,-5,3,0,46265,142,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1447,0,106218,
106232,3080,-600,6464,-154,-347,-128,3741,0,0,4,0,46249,135,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1447,0,106228,
106242,3036,-710,6592,-114,-406,-143,3743,0,2,1,0,46242,134,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1446,0,106238,
106252,3170,-890,6826,-71,-492,-148,3741,0,-1,5,0,46241,136,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1447,0,106248,
106262,3268,-952,7070,-45,-544,-147,3741,0,-8,0,0,46248,127,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1447,0,106258,
106272,3504,-784,7536,0,-588,-140,3744,0,5,2,0,46249,133,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1448,0,106268,
106282,3664,-728,7848,29,-574,-128,3743,0,-1,5,0,46245,132,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1448,0,106278,
106292,3892,-536,8094,71,-468,-100,3744,0,1,2,0,46240,144,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1450,0,106288,
