state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,
54379,7540,3358,-1876,130,94,-111,-9176,0,-7,15,0,45986,91,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6772,0,54373,
54389,7484,3384,-1810,101,54,-102,-9178,0,-5,9,0,45987,80,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6771,0,54383,
54399,7390,3412,-1836,76,18,-110,-9176,0,-2,16,0,45985,79,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6772,0,54393,
54409,7338,3474,-1962,36,-11,-147,-9176,0,1,13,0,45983,85,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6771,0,54403,
54419,7316,3516,-2010,11,-14,-159,-9178,0,-12,4,0,45984,99,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6771,0,54413,
54429,7402,3518,-1906,-37,-15,-171,-9178,0,-8,16,0,45992,112,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6772,0,54423,
54439,7450,3508,-1838,-66,-18,-157,-9178,0,3,9,0,45990,111,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6770,0,54433,
54449,7476,3544,-1728,-114,-39,-127,-9176,0,10,6,0,45988,107,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6772,0,54443,
54459,7470,3576,-1706,-149,-39,-110,-9179,0,-3,7,0,45988,117,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6772,0,54453,
54469,7404,3602,-1686,-169,-59,-91,-9176,-1,10,2,0,45986,123,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6771,0,54463,
54479,7310,3608,-1708,-173,-74,-94,-9178,-1,-16,15,0,45993,129,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6770,0,54473,
54489,7232,3574,-1774,-155,-96,-98,-9177,0,1,10,0,45996,116,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6770,0,54483,
54499,7208,3522,-1808,-144,-105,-111,-9175,1,18,7,0,46000,103,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6770,0,54493,
54509,7226,3504,-1846,-133,-117,-123,-9176,0,6,19,0,45994,101,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6768,0,54503,
54519,7208,3512,-1878,-139,-115,-135,-9176,0,2,19,0,45995,105,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6768,0,54513,
54529,7186,3500,-1930,-158,-104,-148,-9179,0,5,15,0,45991,107,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6767,0,54523,
54539,7186,3500,-1880,-172,-99,-156,-9177,0,0,19,0,45991,110,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6767,0,54533,
54549,7188,3570,-1870,-195,-88,-158,-9178,0,-14,11,0,45994,106,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6765,0,54543,
54559,7182,3558,-1812,-199,-88,-151,-9176,0,-16,12,0,45989,102,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6764,0,54553,
54569,7256,3508,-1760,-208,-97,-144,-9177,0,3,13,0,45989,106,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6763,0,54563,
54579,7260,3472,-1740,-202,-103,-137,-9176,0,-1,16,0,45991,103,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6761,0,54573,
54589,7182,3460,-1746,-196,-99,-128,-9179,0,-15,2,0,45989,107,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6760,0,54583,
54599,7196,3486,-1710,-177,-83,-115,-9177,0,-3,9,0,45991,99,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6760,0,54593,
54609,7156,3520,-1674,-159,-60,-88,-9180,-1,0,5,0,45989,106,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6760,0,54603,
54619,7162,3508,-1654,-138,-56,-73,-9176,0,-11,11,0,45988,110,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6760,0,54613,
54629,7140,3516,-1648,-124,-50,-38,-9177,0,1,5,0,45988,121,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6760,0,54623,
54639,7164,3518,-1604,-113,-56,-21,-9178,0,-8,17,0,45991,125,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6759,0,54633,
54649,7152,3508,-1642,-87,-67,-3,-9178,0,7,0,0,45994,126,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6760,0,54643,
54659,7142,3502,-1682,-76,-64,-4,-9177,0,6,5,0,45996,119,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6759,0,54653,
54669,7070,3542,-1696,-52,-72,0,-9180,-1,11,9,0,45993,98,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6760,0,54663,
54679,7044,3582,-1680,-46,-62,6,-9179,0,-4,6,0,45985,106,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6759,0,54673,
54689,6968,3584,-1686,-30,-54,25,-9175,0,0,-1,0,45986,101,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6759,0,54683,
54699,6928,3556,-1688,-16,-51,58,-9174,0,-2,0,0,45987,107,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6760,0,54693,
54709,6890,3522,-1640,2,-39,118,-9181,0,5,0,0,45988,100,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6760,0,54703,
54719,6872,3474,-1606,6,-47,165,-9179,0,-4,10,0,45984,102,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6760,0,54713,
54729,6850,3452,-1572,34,-86,239,-9177,0,17,6,0,45986,107,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6760,0,54723,
54739,6838,3424,-1558,38,-122,272,-9179,0,7,-1,0,45988,104,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6759,0,54733,
54749,6790,3386,-1600,53,-169,321,-9178,0,-3,0,0,45986,104,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6761,0,54743,
54759,6804,3368,-1670,64,-204,347,-9178,0,-10,0,0,45984,98,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6759,0,54753,
54769,6800,3396,-1780,73,-246,393,-9178,0,-10,8,0,45982,101,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6758,0,54763,
54779,6818,3384,-1836,77,-280,414,-9176,0,10,11,0,45979,103,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6759,0,54773,
54789,6848,3354,-1890,78,-322,451,-9180,0,3,1,0,45980,104,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6758,0,54783,
54799,6930,3316,-1950,64,-350,469,-9176,0,-1,-2,0,45975,114,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6758,0,54793,
54809,7024,3266,-1978,40,-376,497,-9179,0,-5,1,0,45971,109,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6758,0,54803,
54819,7078,3230,-2034,13,-394,500,-9180,0,-8,7,0,45969,115,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6758,0,54813,
54829,7126,3230,-2082,-18,-403,504,-9179,0,0,1,0,45971,115,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6757,0,54823,
54839,7206,3286,-2110,-42,-401,509,-9179,0,2,4,0,45970,116,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6755,0,54833,
54849,7192,3302,-2062,-59,-401,519,-9178,0,-3,-5,0,45971,112,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6755,0,54843,
54859,7200,3346,-2066,-61,-389,522,-9179,0,7,-1,0,45967,110,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6755,0,54853,
54869,7252,3398,-2022,-71,-373,550,-9177,0,-11,5,0,45972,109,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6755,0,54863,
54879,7300,3396,-1984,-73,-344,580,-9179,0,-4,1,0,45971,104,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6755,0,54873,
54889,7278,3324,-1956,-84,-318,630,-9179,0,3,-7,0,45971,98,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6755,0,54883,
54899,7326,3274,-1882,-81,-315,666,-9178,0,7,-8,0,45968,101,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6754,0,54893,
54909,7376,3184,-1844,-69,-320,705,-9179,0,-1,-3,0,45972,102,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6754,0,54903,
54919,7378,3052,-1838,-50,-325,716,-9179,0,0,1,0,45973,111,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6754,0,54913,
54929,7392,2962,-1852,-28,-353,713,-9182,0,1,12,0,45974,106,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6753,0,54923,
54939,7406,2944,-1834,-17,-367,702,-9178,0,-4,12,0,45979,106,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6753,0,54933,
54949,7428,2872,-1848,-24,-382,686,-9179,0,-1,8,0,45987,108,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6753,0,54943,
54959,7424,2848,-1902,-31,-387,674,-9179,0,8,-2,0,45997,119,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6753,0,54953,
54969,7504,2864,-1956,-49,-386,681,-9179,0,-8,3,0,45996,119,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6753,0,54963,
54979,7508,2928,-1972,-56,-386,690,-9176,0,-2,0,0,45986,111,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6753,0,54973,
54989,7582,2942,-1996,-52,-377,720,-9175,0,7,1,0,45970,111,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6753,0,54983,
54999,7636,2908,-2004,-48,-375,730,-9180,0,-2,-4,0,45963,100,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6752,0,54993,
55009,7734,2886,-2096,-28,-366,748,-9179,0,-1,-13,0,45963,108,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6753,0,55003,
55019,7742,2872,-2112,-33,-361,752,-9179,0,-12,9,0,45964,110,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6752,0,55013,
55029,7768,2932,-2080,-35,-338,757,-9176,0,-5,1,0,45968,109,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6751,0,55023,
55039,7836,2986,-2050,-39,-311,772,-9178,0,-5,0,0,45967,98,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6751,0,55033,
55049,7892,2932,-2102,-40,-282,797,-9175,0,7,-9,0,45966,99,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6751,0,55043,
55059,7928,2920,-2120,-37,-270,808,-9179,0,-11,-1,0,45964,98,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6752,0,55053,
