state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,
2023073,286,-8166,-1748,-10,40,-41,-36156,0,2,1,0,45649,131,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023106,
2023074,286,-8166,-1748,-10,40,-41,-36157,0,-11,6,0,45649,131,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023108,
2023075,286,-8166,-1748,-10,40,-41,-36160,0,5,5,0,45649,131,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023110,
2023076,286,-8150,-1744,-2,33,-46,-36160,-1,-3,6,0,45649,131,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023112,
2023077,286,-8150,-1744,-2,33,-46,-36156,0,-1,4,0,45649,131,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023114,
2023078,286,-8150,-1744,-2,33,-46,-36157,0,-4,5,0,45655,130,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023116,
2023079,286,-8150,-1744,-2,33,-46,-36158,0,11,5,0,45655,130,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023118,
2023080,284,-8144,-1760,-6,36,-42,-36161,0,-16,8,0,45655,130,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023120,
2023081,284,-8144,-1760,-6,36,-42,-36159,-1,-11,5,0,45655,130,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023122,
2023082,284,-8144,-1760,-6,36,-42,-36154,0,7,0,0,45655,130,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023124,
2023083,284,-8144,-1760,-6,36,-42,-36156,1,-1,0,0,45655,130,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023126,
2023084,302,-8168,-1754,-3,36,-47,-36157,1,1,-1,0,45655,130,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023128,
2023085,302,-8168,-1754,-3,36,-47,-36156,0,0,-3,0,45655,130,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023130,
2023086,302,-8168,-1754,-3,36,-47,-36157,0,2,-2,0,45655,130,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023132,
2023087,302,-8168,-1754,-3,36,-47,-36156,0,-4,-4,0,45655,130,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023134,
2023088,270,-8154,-1726,0,37,-42,-36158,0,3,-7,0,45655,132,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023136,
2023089,270,-8154,-1726,0,37,-42,-36158,0,2,-6,0,45655,132,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023138,
2023090,270,-8154,-1726,0,37,-42,-36155,0,8,-6,0,45655,132,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023140,
2023091,270,-8154,-1726,0,37,-42,-36156,0,0,-5,0,45655,132,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023142,
2023092,290,-8178,-1740,4,39,-47,-36157,0,4,-4,0,45655,132,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023144,
2023093,290,-8178,-1740,4,39,-47,-36154,0,6,-2,0,45655,132,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023146,
